Date,CFM_1,CFM_2,CFM_3,CFM_4,O2_1,O2_2,O2_3,O2_4,STATICPR_1,STATICPR_2,STATICPR_3,STATICPR_4
01:34:42 03-09-2025,0,485,0,0,0,7.81448554992676,0,0,0,8.03835010528564,0,0
01:35:12 03-09-2025,0,468,0,0,0,8.66156005859375,0,0,0,7.88040924072266,0,0
01:35:42 03-09-2025,0,452,0,0,0,9.2186450958252,0,0,0,7.82547283172607,0,0
01:36:12 03-09-2025,0,473,0,0,0,9.67652320861816,0,0,0,7.86896419525146,0,0
01:36:42 03-09-2025,0,509,0,0,0,9.95125007629395,0,0,0,7.73391246795654,0,0
01:37:12 03-09-2025,0,498,0,0,0,10.2030830383301,0,0,0,7.74306869506836,0,0
01:37:42 03-09-2025,0,454,0,0,0,10.3786029815674,0,0,0,7.6766881942749,0,0
01:38:12 03-09-2025,0,466,0,0,0,10.5159664154053,0,0,0,7.64235305786133,0,0
01:38:42 03-09-2025,0,461,0,0,0,10.6228046417236,0,0,0,7.58741664886475,0,0
01:39:12 03-09-2025,0,465,0,0,0,10.6991176605225,0,0,0,7.55994892120361,0,0
01:39:42 03-09-2025,0,431,0,0,0,10.7525367736816,0,0,0,7.62175178527832,0,0
01:40:12 03-09-2025,0,462,0,0,0,10.7983245849609,0,0,0,7.52332496643066,0,0
01:40:42 03-09-2025,0,442,0,0,0,10.8364810943604,0,0,0,7.51187992095947,0,0
01:41:12 03-09-2025,0,462,0,0,0,10.8746376037598,0,0,0,7.45465469360352,0,0
01:41:42 03-09-2025,0,470,0,0,0,10.8975315093994,0,0,0,7.4363431930542,0,0
01:42:12 03-09-2025,0,451,0,0,0,10.9051628112793,0,0,0,7.41345310211182,0,0
01:42:42 03-09-2025,0,479,0,0,0,10.9280567169189,0,0,0,7.38827419281006,0,0
01:43:12 03-09-2025,0,449,0,0,0,10.9280567169189,0,0,0,7.35622787475586,0,0
01:43:42 03-09-2025,0,464,0,0,0,10.9356880187988,0,0,0,7.39514064788818,0,0
01:44:12 03-09-2025,0,447,0,0,0,10.9433193206787,0,0,0,7.30587005615234,0,0
01:44:42 03-09-2025,0,427,0,0,0,10.9585819244385,0,0,0,7.23491096496582,0,0
01:45:12 03-09-2025,0,461,0,0,0,10.9662132263184,0,0,0,7.34478282928467,0,0
01:45:42 03-09-2025,0,448,0,0,0,10.9738445281982,0,0,0,7.33333778381348,0,0
01:46:12 03-09-2025,0,453,0,0,0,10.9127941131592,0,0,0,7.24177742004395,0,0
01:46:42 03-09-2025,0,439,0,0,0,10.9585819244385,0,0,0,7.32189273834229,0,0
01:47:12 03-09-2025,0,438,0,0,0,10.9662132263184,0,0,0,7.2578010559082,0,0
01:47:42 03-09-2025,0,463,0,0,0,10.989107131958,0,0,0,7.27611255645752,0,0
